cname,fullcname,rname
ABW,Aruba,Caribbean
AIA,Anguilla,Caribbean
ANT,Netherlands Antilles,Caribbean
ATG,Antigua and Barbuda,Caribbean
BHS,Bahamas,Caribbean
BLM,Saint Barthélemy,Caribbean
BRB,Barbados,Caribbean
CUB,Cuba,Caribbean
CYM,Cayman Islands,Caribbean
DMA,Dominica,Caribbean
DOM,Dominican Republic,Caribbean
GLP,Guadeloupe,Caribbean
GRD,Grenada,Caribbean
HTI,Haiti,Caribbean
JAM,Jamaica,Caribbean
KNA,Saint Kitts and Nevis,Caribbean
LCA,Saint Lucia,Caribbean
MAF,Saint Martin (French part),Caribbean
MSR,Montserrat,Caribbean
MTQ,Martinique,Caribbean
PRI,Puerto Rico,Caribbean
TCA,Turks and Caicos Islands,Caribbean
TTO,Trinidad and Tobago,Caribbean
VCT,Saint Vincent and the Grenadines,Caribbean
VGB,Virgin Islands,Caribbean
VIR,U.S. Virgin Islands,Caribbean
BVI,British Virgin Islands,Caribbean
CUW,Curaçao,Caribbean
SXM,Sint Maarten,Caribbean
AGO,Angola,Africa Central
CAF,Central African Republic,Africa Central
CMR,Cameroon,Africa Central
COD,Democratic Republic of Congo,Africa Central
COG,Congo,Africa Central
GAB,Gabon,Africa Central
GNQ,Equatorial Guinea,Africa Central
STP,Sao Tome and Principe,Africa Central
TCD,Chad,Africa Central
BLZ,Belize,America Central
CRI,Costa Rica,America Central
GTM,Guatemala,America Central
HND,Honduras,America Central
MEX,Mexico,America Central
NIC,Nicaragua,America Central
PAN,Panama,America Central
SLV,El Salvador,America Central
KAZ,Kazakhstan,Asia Central
KGZ,Kyrgyzstan,Asia Central
TJK,Tajikistan,Asia Central
TKM,Turkmenistan,Asia Central
UZB,Uzbekistan,Asia Central
BDI,Burundi,Africa Eastern
COM,Comoros,Africa Eastern
DJI,Djibouti,Africa Eastern
ERI,Eritrea,Africa Eastern
ETH,Ethiopia,Africa Eastern
KEN,Kenya,Africa Eastern
MDG,Madagascar,Africa Eastern
MOZ,Mozambique,Africa Eastern
MUS,Mauritius,Africa Eastern
MWI,Malawi,Africa Eastern
MYT,Mayotte,Africa Eastern
REU,Réunion,Africa Eastern
RWA,Rwanda,Africa Eastern
SOM,Somalia,Africa Eastern
SYC,Seychelles,Africa Eastern
TZA,Tanzania,Africa Eastern
UGA,Uganda,Africa Eastern
ZMB,Zambia,Africa Eastern
ZWE,Zimbabwe,Africa Eastern
SSD,South Sudan,Africa Eastern
CHN,China,Asia Eastern
HKG,Hong Kong,Asia Eastern
JPN,Japan,Asia Eastern
KOR,South Korea,Asia Eastern
MAC,Macao,Asia Eastern
MNG,Mongolia,Asia Eastern
NPL,Nepal,Asia Eastern
PRK,North Korea,Asia Eastern
TWN,Taiwan,Asia Eastern
BGR,Bulgaria,Europe Eastern
BLR,Belarus,Europe Eastern
CZE,Czech Republic,Europe Eastern
HUN,Hungary,Europe Eastern
MDA,"Moldova, Republic of",Europe Eastern
POL,Poland,Europe Eastern
ROU,Romania,Europe Eastern
RUS,Russian Federation,Europe Eastern
SVK,Slovakia,Europe Eastern
UKR,Ukraine,Europe Eastern
XKX,Kosovo,Europe Eastern
DZA,Algeria,Africa Northern
EGY,Egypt,Africa Northern
ESH,Western Sahara,Africa Northern
LBY,Libya,Africa Northern
MAR,Morocco,Africa Northern
SDN,Sudan,Africa Northern
TUN,Tunisia,Africa Northern
BMU,Bermuda,America Northern
CAN,Canada,America Northern
GRL,Greenland,America Northern
SPM,Saint Pierre and Miquelon,America Northern
USA,United States,America Northern
ALA,Åland Islands,Europe Northern
DNK,Denmark,Europe Northern
EST,Estonia,Europe Northern
FIN,Finland,Europe Northern
FRO,Faroe Islands,Europe Northern
GBR,United Kingdom,Europe Northern
GGY,Guernsey,Europe Northern
IMN,Isle of Man,Europe Northern
IRL,Ireland,Europe Northern
ISL,Iceland,Europe Northern
JEY,Jersey,Europe Northern
LTU,Lithuania,Europe Northern
LVA,Latvia,Europe Northern
NOR,Norway,Europe Northern
SJM,Svalbard and Jan Mayen,Europe Northern
SWE,Sweden,Europe Northern
ASM,American Samoa,Oceania
AUS,Australia,Oceania
COK,Cook Island,Oceania
FJI,Fiji,Oceania
FSM,Micronesia,Oceania
GUM,Guam,Oceania
KIR,Kiribati,Oceania
MHL,Marshall Islands,Oceania
MNP,Northern Mariana Islands,Oceania
NCL,New Caledonia,Oceania
NFK,Norfolk Island,Oceania
NIU,Niue,Oceania
NRU,Nauru,Oceania
NZL,New Zealand,Oceania
PCN,Pitcairn,Oceania
PYF,French Polynesia,Oceania
SLB,Solomon Islands,Oceania
TKL,Tokelau,Oceania
TON,Tonga,Oceania
TUV,Tuvalu,Oceania
UMI,United States Minor Outlying Islands,Oceania
VUT,Vanuatu,Oceania
WLF,Wallis and Futuna,Oceania
WSM,Samoa,Oceania
ATA,Antarctica,Other
ATF,French Southern Territories,Other
HMD,Heard Island and McDonald Islands,Other
ARG,Argentina,America South
BOL,Bolivia,America South
BRA,Brazil,America South
BVT,Bouvet Island,America South
CHL,Chile,America South
COL,Colombia,America South
ECU,Ecuador,America South
FLK,Falkland Islands,America South
GUF,French Guiana,America South
GUY,Guyana,America South
PER,Peru,America South
PRY,Paraguay,America South
SGS,South Georgia and the South Sandwich Islands,America South
SUR,Suriname,America South
URY,Uruguay,America South
VEN,Venezuela,America South
BRN,Brunei,Asia Southeastern
CCK,Cocos (Keeling) Islands,Asia Southeastern
CXR,Christmas Island,Asia Southeastern
IDN,Indonesia,Asia Southeastern
KHM,Cambodia,Asia Southeastern
LAO,Laos,Asia Southeastern
MMR,Myanmar,Asia Southeastern
MYS,Malaysia,Asia Southeastern
PHL,Philippines,Asia Southeastern
PLW,Palau,Asia Southeastern
PNG,Papua New Guinea,Asia Southeastern
SGP,Singapore,Asia Southeastern
THA,Thailand,Asia Southeastern
TLS,Timor-Leste,Asia Southeastern
VNM,Vietnam,Asia Southeastern
BWA,Botswana,Africa Southern
LSO,Lesotho,Africa Southern
NAM,Namibia,Africa Southern
SWZ,Swaziland,Africa Southern
ZAF,South Africa,Africa Southern
AFG,Afghanistan,Asia Southern
BGD,Bangladesh,Asia Southern
BTN,Bhutan,Asia Southern
IND,India,Asia Southern
IOT,British Indian Ocean Territory,Asia Southern
IRN,Iran,Asia Southern
LKA,Sri Lanka,Asia Southern
MDV,Maldives,Asia Southern
PAK,Pakistan,Asia Southern
ALB,Albania,Europe Southern
AND,Andorra,Europe Southern
BIH,Bosnia and Herzegovina,Europe Southern
ESP,Spain,Europe Southern
GIB,Gibraltar,Europe Southern
GRC,Greece,Europe Southern
HRV,Croatia,Europe Southern
ITA,Italy,Europe Southern
MKD,the former Yugoslav Republic of Macedonia,Europe Southern
MLT,Malta,Europe Southern
MNE,Montenegro,Europe Southern
PRT,Portugal,Europe Southern
SMR,San Marino,Europe Southern
SRB,Serbia,Europe Southern
SVN,Slovenia,Europe Southern
VAT,Holy See,Europe Southern
BEN,Benin,Africa Western
BFA,Burkina Faso,Africa Western
CIV,Côte d'Ivoire,Africa Western
CPV,Cape Verde,Africa Western
GHA,Ghana,Africa Western
GIN,Guinea,Africa Western
GMB,Gambia,Africa Western
GNB,Guinea-Bissau,Africa Western
LBR,Liberia,Africa Western
MLI,Mali,Africa Western
MRT,Mauritania,Africa Western
NER,Niger,Africa Western
NGA,Nigeria,Africa Western
SEN,Senegal,Africa Western
SHN,Saint Helena,Africa Western
SLE,Sierra Leone,Africa Western
TGO,Togo,Africa Western
CIV,Cote d’Ivoire,Africa Western
ARE,United Arab Emirates,Asia Western
ARM,Armenia,Asia Western
AZE,Azerbaijan,Asia Western
BHR,Bahrain,Asia Western
CYP,Cyprus,Asia Western
