"d3mIndex","cylinders","displacement","horsepower","weight","acceleration","model","origin","class","train"
0,4,98,66,1800,14.4,78,1,36.1,1
1,4,108,94,2379,16.5,73,3,22,1
2,6,199,97,2774,15.5,70,1,18,1
3,8,304,150,3672,11.5,72,1,17,1
4,6,250,105,3459,16,75,1,18,1
5,8,440,215,4312,8.5,70,1,14,1
6,4,97,46,1835,20.5,70,2,26,1
7,8,350,150,4699,14.5,74,1,13,1
8,4,105,74,2190,14.2,81,2,33,1
9,4,85,65,1975,19.4,81,3,37,1
10,4,71,65,1836,21,74,3,32,1
11,4,107,86,2464,15.5,76,2,28,1
12,8,267,125,3605,15,79,1,19.2,1
13,4,91,67,1965,15.7,82,3,32,1
14,4,121,80,2670,15,79,1,27.4,1
15,4,140,90,2408,19.5,72,1,20,1
16,4,96,69,2189,18,72,2,26,1
17,6,225,110,3360,16.6,79,1,20.6,1
18,4,91,69,2130,14.7,79,2,37.3,1
19,6,163,133,3410,15.8,78,2,16.2,1
20,8,350,145,4440,14,75,1,15,1
21,4,140,72,2401,19.5,73,1,21,1
22,6,200,85,2587,16,70,1,21,1
23,6,200,95,3155,18.2,78,1,20.5,1
24,6,199,90,2648,15,70,1,21,1
25,6,168,116,2900,12.6,81,3,25.4,1
26,4,91,68,1985,16,81,3,34.1,1
27,4,151,90,2950,17.3,82,1,27,1
28,4,98,70,2125,17.3,82,1,36,1
29,4,120,74,2635,18.3,81,3,31.6,1
30,4,89,60,1968,18.8,80,3,38.1,1
31,4,83,61,2003,19,74,3,32,1
32,4,85,65,2110,19.2,80,3,40.8,1
33,6,232,90,3211,17,75,1,19,1
34,4,114,91,2582,14,73,2,20,1
35,6,250,105,3353,14.5,76,1,22,1
36,6,258,95,3193,17.8,76,1,17.5,1
37,4,81,60,1760,16.1,81,3,35.1,1
38,4,98,63,2051,17,77,1,30.5,1
39,4,107,75,2210,14.4,81,3,33.7,1
40,6,250,88,3302,15.5,71,1,19,1
41,8,302,140,4638,16,74,1,14,1
42,8,351,142,4054,14.3,79,1,15.5,1
43,6,250,72,3158,19.5,75,1,15,1
44,6,232,90,3085,17.6,76,1,22.5,1
45,4,85,52,2035,22.2,76,1,29,1
46,4,97,54,2254,23.5,72,2,23,1
47,3,70,90,2124,13.5,73,3,18,1
48,4,122,96,2300,15.5,77,1,25.5,1
49,4,119,97,2545,17,75,3,24,1
50,8,454,220,4354,9,70,1,14,1
51,8,351,138,3955,13.2,79,1,16.5,1
52,5,131,103,2830,15.9,78,2,20.3,1
53,4,108,93,2391,15.5,74,3,26,1
54,8,383,170,3563,10,70,1,15,1
55,4,97,67,2145,18,80,3,33.8,1
56,8,400,150,4997,14,73,1,11,1
57,4,97,92,2288,17,72,3,28,1
58,6,225,100,3630,17.7,77,1,19,1
59,4,97,67,1985,16.4,77,3,30,1
60,4,141,71,3190,24.8,79,2,27.2,1
61,6,168,120,3820,16.7,76,2,16.5,1
62,4,97,75,2171,16,75,3,29,1
63,8,262,110,3221,13.5,75,1,20,1
64,8,318,150,3777,12.5,73,1,15,1
65,8,318,140,4080,13.7,78,1,17.5,1
66,6,225,95,3785,19,75,1,18,1
67,4,90,75,2108,15.5,74,2,24,1
68,6,232,90,3265,18.2,79,1,20.2,1
69,8,351,158,4363,13,73,1,13,1
70,8,350,160,4456,13.5,72,1,12,1
71,6,156,122,2807,13.5,73,3,20,1
72,8,360,175,3821,11,73,1,13,1
73,4,97,78,2300,14.5,74,2,26,1
74,4,105,70,2150,14.9,79,1,34.5,1
75,6,225,105,3121,16.5,73,1,18,1
76,6,250,98,3525,19,77,1,18.5,1
77,8,350,155,4502,13.5,72,1,13,1
78,4,121,113,2234,12.5,70,2,26,1
79,6,232,100,3288,15.5,71,1,18,1
80,4,76,52,1649,16.5,74,3,31,1
81,4,121,110,2660,14,73,2,24,1
82,8,429,208,4633,11,72,1,11,1
83,8,318,140,3735,13.2,78,1,19.4,1
84,4,119,100,2615,14.8,81,3,32.9,1
85,4,89,71,1990,14.9,78,2,31.5,1
86,6,225,90,3381,18.7,80,1,19.1,1
87,6,200,81,3012,17.6,76,1,24,1
88,6,198,95,3102,16.5,74,1,20,1
89,4,90,75,2125,14.5,74,1,28,1
90,4,97,78,1940,14.5,77,2,29,1
91,8,304,150,3672,11.5,73,1,14,1
92,4,122,88,2500,15.1,80,2,35,1
93,4,97,71,1825,12.2,76,2,29.5,1
94,4,140,NA,2905,14.3,80,1,23.6,1
95,8,318,145,4140,13.7,77,1,15.5,1
96,6,231,105,3380,15.8,78,1,20.6,1
97,4,105,70,2200,13.2,79,1,34.2,1
98,4,116,81,2220,16.9,76,2,25,1
99,5,121,67,2950,19.9,80,2,36.4,1
100,4,140,88,2890,17.3,79,1,22.3,1
101,4,120,88,3270,21.9,76,2,19,1
102,6,200,85,2990,18.2,79,1,19.8,1
103,4,79,67,1950,19,74,3,31,1
104,8,350,165,4209,12,71,1,14,1
105,8,340,160,3609,8,70,1,14,1
106,4,90,48,2335,23.7,80,2,43.4,1
107,4,98,79,2255,17.7,76,1,26,1
108,4,85,70,1945,16.8,77,3,33.5,1
109,4,122,85,2310,18.5,73,1,19,1
110,4,121,98,2945,14.5,75,2,22,1
111,4,119,97,2300,14.7,78,3,27.2,1
112,6,168,132,2910,11.4,80,3,32.7,1
113,4,68,49,1867,19.5,73,2,29,1
