d3mIndex,cylinders,displacement,horsepower,weight,acceleration,model,origin
0,4,91.0,53.0,1795.0,17.4,76,3
1,4,120.0,79.0,2625.0,18.6,82,1
2,6,232.0,100.0,2634.0,13.0,71,1
3,8,318.0,150.0,3940.0,13.2,76,1
4,8,318.0,150.0,4237.0,14.5,73,1
5,4,97.0,88.0,2100.0,16.5,72,3
6,4,140.0,92.0,2865.0,16.4,82,1
7,8,440.0,215.0,4735.0,11.0,73,1
8,8,260.0,110.0,4060.0,19.0,77,1
9,6,200.0,,2875.0,17.0,74,1
10,8,390.0,190.0,3850.0,8.5,70,1
11,4,91.0,67.0,1965.0,15.0,82,3
12,4,91.0,70.0,1955.0,20.5,71,1
13,8,304.0,150.0,3892.0,12.5,72,1
14,4,140.0,75.0,2542.0,17.0,74,1
15,8,383.0,180.0,4955.0,11.5,71,1
16,4,112.0,85.0,2575.0,16.2,82,1
17,6,163.0,125.0,3140.0,13.6,78,2
18,8,400.0,180.0,4220.0,11.1,77,1
19,4,91.0,68.0,1970.0,17.6,82,3
20,4,121.0,76.0,2511.0,18.0,72,2
21,6,198.0,95.0,2833.0,15.5,70,1
22,6,232.0,112.0,2835.0,14.7,82,1
23,4,98.0,83.0,2075.0,15.9,77,1
24,8,307.0,130.0,3504.0,12.0,70,1
25,4,97.0,52.0,2130.0,24.6,82,2
26,4,98.0,90.0,2265.0,15.5,73,2
27,4,151.0,88.0,2740.0,16.0,77,1
28,6,258.0,120.0,3410.0,15.1,78,1
29,8,400.0,167.0,4906.0,12.5,73,1
30,4,140.0,86.0,2790.0,15.6,82,1
31,4,105.0,74.0,1980.0,15.3,82,2
32,8,350.0,125.0,3900.0,17.4,79,1
33,4,113.0,95.0,2278.0,15.5,72,3
34,4,86.0,65.0,2019.0,16.4,80,3
35,8,400.0,230.0,4278.0,9.5,73,1
36,6,155.0,107.0,2472.0,14.0,73,1
37,8,305.0,145.0,3425.0,13.2,78,1
38,8,318.0,150.0,4498.0,14.5,75,1
39,4,98.0,83.0,2219.0,16.5,74,2
40,6,173.0,115.0,2700.0,12.9,79,1
41,4,97.0,60.0,1834.0,19.0,71,2
42,4,121.0,112.0,2933.0,14.5,72,2
43,8,360.0,215.0,4615.0,14.0,70,1
44,4,120.0,97.0,2506.0,14.5,72,3
45,4,120.0,88.0,2160.0,14.5,82,3
46,4,116.0,75.0,2246.0,14.0,74,2
47,4,121.0,115.0,2671.0,13.5,75,2
48,4,104.0,95.0,2375.0,17.5,70,2
49,4,90.0,71.0,2223.0,16.5,75,2
50,4,140.0,72.0,2408.0,19.0,71,1
51,4,86.0,65.0,1975.0,15.2,79,3
52,4,107.0,72.0,2290.0,17.0,80,3
53,8,400.0,190.0,4422.0,12.5,72,1
54,6,173.0,110.0,2725.0,12.6,81,1
55,8,400.0,175.0,4464.0,11.5,71,1
56,8,360.0,150.0,3940.0,13.0,79,1
57,4,134.0,90.0,2711.0,15.5,80,3
58,4,140.0,90.0,2264.0,15.5,71,1
59,6,225.0,95.0,3264.0,16.0,75,1
60,8,350.0,180.0,3664.0,11.0,73,1
61,4,91.0,53.0,1795.0,17.5,75,3
62,4,140.0,83.0,2639.0,17.0,75,1
63,4,120.0,87.0,2979.0,19.5,72,2
64,6,198.0,95.0,2904.0,16.0,73,1
65,4,113.0,95.0,2228.0,14.0,71,3
66,4,151.0,85.0,2855.0,17.6,78,1
67,4,98.0,65.0,2045.0,16.2,81,1
68,4,98.0,60.0,2164.0,22.1,76,1
69,8,307.0,130.0,4098.0,14.0,72,1
70,4,105.0,63.0,2215.0,14.9,81,1
71,8,304.0,150.0,4257.0,15.5,74,1
72,8,429.0,198.0,4341.0,10.0,70,1
73,6,258.0,110.0,2962.0,13.5,71,1
74,6,181.0,110.0,2945.0,16.4,82,1
75,8,260.0,110.0,3365.0,15.5,78,1
76,6,250.0,110.0,3520.0,16.4,77,1
77,4,112.0,88.0,2605.0,19.6,82,1
78,4,90.0,70.0,1937.0,14.0,75,2
79,8,305.0,130.0,3840.0,15.4,79,1
80,8,304.0,150.0,3433.0,12.0,70,1
81,4,97.0,88.0,2130.0,14.5,70,3
82,4,91.0,68.0,2025.0,18.2,82,3
83,4,91.0,60.0,1800.0,16.4,78,3
84,4,115.0,95.0,2694.0,15.0,75,2
85,8,400.0,175.0,4385.0,12.0,72,1
86,4,78.0,52.0,1985.0,19.4,78,3
87,4,98.0,65.0,2380.0,20.7,81,1
88,4,97.0,88.0,2279.0,19.0,73,3
89,8,429.0,198.0,4952.0,11.5,73,1
90,8,400.0,190.0,4325.0,12.2,77,1
91,3,70.0,100.0,2420.0,12.5,80,3
92,4,116.0,75.0,2158.0,15.5,73,2
93,4,79.0,58.0,1825.0,18.6,77,2
94,6,156.0,108.0,2930.0,15.5,76,3
95,4,105.0,63.0,2125.0,14.7,82,1
96,4,135.0,84.0,2525.0,16.0,82,1
97,6,231.0,115.0,3245.0,15.4,79,1
98,4,156.0,105.0,2800.0,14.4,80,1
99,8,318.0,150.0,4077.0,14.0,72,1
