d3mIndex,class
0,c-CS-s
1,c-CS-m
2,c-CS-m
3,t-CS-m
4,t-SC-s
5,t-CS-m
6,c-SC-s
7,c-CS-s
8,c-SC-s
9,c-CS-m
10,t-CS-m
11,c-SC-m
12,c-SC-m
13,t-CS-m
14,c-CS-m
15,c-CS-m
16,t-SC-m
17,c-SC-s
18,c-SC-m
19,c-SC-s
20,c-CS-m
21,t-CS-s
22,c-CS-s
23,c-SC-s
24,c-CS-m
25,c-CS-m
26,t-SC-m
27,t-CS-s
28,t-CS-s
29,t-SC-m
30,t-SC-s
31,c-SC-s
32,t-SC-m
33,c-CS-s
34,t-CS-m
35,c-SC-m
36,c-CS-m
37,t-CS-s
38,t-SC-s
39,c-SC-m
40,c-CS-s
41,t-CS-m
42,c-SC-m
43,t-CS-m
44,c-SC-s
45,c-CS-m
46,t-SC-m
47,c-SC-m
48,c-SC-s
49,t-CS-s
50,t-SC-m
51,t-SC-m
52,c-CS-m
53,c-SC-s
54,c-SC-s
55,t-SC-s
56,t-SC-s
57,t-CS-s
58,t-CS-m
59,t-SC-m
60,c-CS-m
61,c-CS-m
62,c-SC-s
63,t-CS-m
64,t-CS-m
65,c-SC-m
66,t-SC-s
67,t-CS-m
68,c-CS-s
69,t-SC-s
70,t-CS-m
71,c-SC-s
72,c-SC-m
73,t-SC-m
74,t-SC-m
75,c-SC-m
76,c-SC-m
77,c-CS-s
78,t-SC-m
79,t-CS-m
80,c-CS-s
81,c-SC-m
82,c-SC-m
83,c-CS-m
84,t-SC-s
85,c-CS-m
86,t-SC-m
87,t-SC-m
88,t-CS-s
89,c-SC-m
90,c-SC-s
91,c-CS-m
92,c-CS-s
93,c-CS-m
94,t-CS-m
95,t-CS-s
96,t-SC-m
97,c-CS-s
98,c-SC-s
99,c-CS-s
100,c-CS-s
101,t-SC-s
102,c-SC-s
103,c-CS-m
104,t-CS-s
105,t-SC-m
106,t-SC-m
107,t-SC-s
108,t-SC-s
109,c-CS-m
110,t-SC-m
111,c-SC-m
112,t-CS-m
113,c-CS-s
114,c-CS-m
115,t-SC-s
116,t-CS-s
117,c-CS-s
118,t-CS-m
119,t-CS-m
120,t-SC-m
121,c-SC-m
122,t-CS-m
123,t-CS-m
124,t-SC-s
125,c-CS-s
126,t-CS-m
127,t-SC-m
128,t-SC-s
129,c-CS-m
130,c-SC-m
131,c-SC-s
132,t-SC-s
133,t-SC-m
134,t-CS-s
135,t-SC-m
136,t-CS-s
137,t-CS-m
138,t-SC-s
139,t-CS-m
140,c-CS-m
141,c-CS-s
142,c-SC-m
143,c-SC-s
144,t-CS-m
145,c-CS-m
146,t-SC-s
147,t-SC-m
148,t-SC-s
149,c-CS-s
150,c-CS-s
151,t-CS-s
152,t-SC-s
153,c-CS-m
154,c-CS-s
155,t-SC-m
156,c-CS-m
157,t-SC-s
158,c-SC-s
159,c-SC-m
160,c-CS-m
161,c-CS-m
162,t-SC-s
163,t-SC-m
164,c-CS-s
165,c-SC-s
166,t-CS-m
167,t-SC-m
168,c-CS-m
169,t-CS-m
170,c-CS-s
171,c-CS-s
172,c-CS-m
173,c-SC-m
174,t-SC-s
175,c-SC-m
176,t-CS-m
177,c-CS-s
178,t-CS-m
179,t-SC-s
180,c-SC-m
181,c-SC-s
182,t-SC-m
183,t-SC-m
184,t-SC-s
185,t-SC-s
186,c-CS-m
187,c-SC-m
188,t-CS-s
189,t-CS-m
190,c-SC-s
191,t-SC-s
192,t-CS-s
193,c-CS-s
194,c-SC-m
195,t-SC-m
196,t-CS-m
197,t-SC-s
198,c-SC-s
199,c-SC-m
200,c-SC-s
201,t-SC-m
202,t-CS-m
203,c-SC-m
204,c-CS-s
205,c-SC-m
206,t-CS-s
207,c-SC-s
208,t-CS-s
209,c-SC-m
210,t-CS-m
211,t-SC-s
212,c-CS-s
213,c-CS-s
214,c-SC-m
215,t-SC-s
216,c-SC-m
217,t-CS-s
218,t-SC-s
219,t-CS-s
220,t-SC-s
221,c-SC-s
222,c-CS-m
223,c-SC-m
224,t-CS-m
225,c-SC-m
226,t-SC-m
227,t-SC-m
228,c-CS-m
229,c-SC-s
230,t-CS-s
231,c-CS-s
232,c-SC-s
233,t-SC-s
234,c-SC-m
235,c-CS-s
236,t-SC-s
237,c-SC-m
238,t-SC-m
239,c-SC-s
240,c-CS-m
241,c-SC-s
242,c-SC-s
243,c-CS-m
244,c-SC-m
245,c-CS-s
246,t-SC-m
247,c-CS-m
248,c-CS-s
249,c-SC-s
250,t-CS-s
251,t-SC-s
252,c-SC-m
253,t-CS-m
254,c-CS-s
255,t-CS-m
256,c-SC-s
257,c-SC-m
258,c-CS-m
259,c-SC-s
260,t-CS-m
261,c-SC-s
262,t-CS-s
263,c-SC-m
264,t-SC-s
265,t-SC-m
266,t-CS-s
267,t-CS-s
268,c-CS-s
269,c-SC-m
270,c-SC-s
271,t-SC-m
272,t-CS-m
273,c-CS-m
274,c-CS-m
275,c-CS-m
