,X,GID,Date,Year,Month,Day,Source,SrcActor,SrcAgent,SOthAgent,Target,TgtActor,TgtAgent,TOthAgent,CAMEO,RootCode,QuadClass,Goldstein,None,Lat,Lon,Geoname,AdminInfo,CountryCode,ID,URL,sourcetxt
18918,18918,332047,20140627,2014,6,27,ISRMED,ISR,MED,,ISR,ISR,,,10,1,0,0,,NA,NA,,,,53acd0adbfd1091b45e1541d_3,http://article.wn.com/view/2014/06/27/Interest_Rate_June_26_2014_Ministry_of_Finance_of_the_State_/,wn_politics
958371,958371,1272134_v0.2.0,20150730,2015,7,30,USA,USA,,,SAU,SAU,,,311,3,1,5.2,,NA,NA,,,,55bad36a421aa9364f621b18_0,http://feedproxy.google.com/~r/World-TheNewsInternational/~3/TBd0bl5PQK0/story01.htm,int_the_news_world
494657,494657,654001_v0.2.0,20150220,2015,2,20,UKRGOVENV,UKR,GOV,ENV,UKRGOV,UKR,GOV,,32,3,1,4.5,,49,32,Ukraine,,UKR,54e789e9ee647946aa4ab36a_2,http://article.wn.com/view/2015/02/20/Putin_says_Russia_will_never_yield_to_foreign_pressure_g/,wn_world
1188779,1188779,1502616_v0.2.0,20151013,2015,10,13,TWNGOV,TWN,GOV,,TWN,TWN,,,10,1,0,0,,25.04776,121.53185,Taipei,Taipei,TWN,561cba7b421aa97adc28b79d_5,http://article.wn.com/view/2015/10/13/Mayor_Lai_Presided_The_Raising_Flag_Ceremony_Tainan_City_Gov/,wn_asia
209143,209143,519715,20140906,2014,9,6,IRQ,IRQ,,,USA,USA,,,20,2,0,3,,NA,NA,,,,540c2ce0bfd1090b40d10fda_0,http://feedproxy.google.com/~r/euronews/en/home/~3/f_ROeIN2WZI/story01.htm,euronews
962686,962686,1276450_v0.2.0,20150801,2015,8,1,GBRGOV,GBR,GOV,,FRA,FRA,,,12,1,0,-0.4,,50.95194,1.85635,Calais,Nord-Pas-de-Calais,FRA,55bc79fa421aa968ca11f77b_3;55bd2fed421aa968c5a37494_6,http://article.wn.com/view/WNAT1fe00245436d12892d1718d484cf2088/;http://article.wn.com/view/2015/08/01/Church_attacks_David_Cameron_s_lack_of_compassion_over_asylu/,wn_world;wn_world
517844,517844,677195_v0.2.0,20150226,2015,2,26,IRQ,IRQ,,,USA,USA,,,43,4,1,2.8,,33.34058,44.40088,Baghdad,Muḩāfaz̧at Baghdād,IRQ,54ef4f3d421aa9250cc85a14_4,http://article.wn.com/view/2015/02/26/APC_Reps_Stage_WalkOut_Over_Troops_Deployment_During_Polls/,wn_africa
26365,26365,339497,20140701,2014,7,1,RUSMED,RUS,MED,,UKRMIL,UKR,MIL,,10,1,0,0,,NA,NA,,,,53b19815bfd1095c90d96eb1_6,http://libertytimes.feedsportal.com/c/33098/f/535600/s/3c076b0f/sc/34/l/0L0Staipeitimes0N0CNews0Cworld0Carchives0C20A140C0A70C0A10C20A0A3594113/story01.htm,taipeitimes_world
903224,903224,1216969_v0.2.0,20150713,2015,7,13,IRQELIGOV,IRQ,,ELI;GOV,PAKGOV,PAK,GOV,,36,3,1,4,,33.72148,73.04329,Islamabad,Islāmābād Capital Territory,PAK,55a3927b421aa909d56e599e_5;55a38400421aa909ce71d429_3;55a383f3421aa909866e0090_5,http://www.asianage.com/india/bring-back-terrorists-pak-your-plane-azam-khan-narendra-modi-704;http://www.hindustantimes.com/india-news/pm-should-bring-back-terrorists-from-pak-on-his-plane-azam-khan/article1-1368747.aspx;http://dc.asianage.com/india/bring-back-terrorists-pak-your-plane-azam-khan-narendra-modi-704,asianage_india;hindustan_india;asianage_india
291551,291551,408752_v0.2.0,20141027,2014,10,27,NGOHRIGOVHRI,NGO,,HRI;GOV;HRI,KEN,KEN,,,10,1,0,0,,-4.05466,39.66359,Mombasa,Mombasa,KEN,544e20efbfd1097e12c64d90_2,http://www.kenyastar.com/index.php/sid/227054619/scat/a262965e0c331d64,bnn_kenya
1710580,1710580,2126131_v1.2.0,20160401,2016,4,1,JPN,JPN,,,USA,USA,,,32,3,1,4.5,,37.566,126.9784,Seoul,Seoul,KOR,56fe4f71421aa971c3461b5e_2;56fe4f74421aa971c5996118_2;56fe56da421aa971c4a3b87c_2;56fee186421aa9257128d573_0,http://article.wn.com/view/2016/04/01/North_Korea_Fires_Missile_Into_the_Sea/;http://article.wn.com/view/2016/04/01/Seoul_N_Korea_fires_missile_and_tries_to_jam_GPS_signals_h/;http://article.wn.com/view/2016/04/01/Seoul_N_Korea_fires_missile_and_tries_to_jam_GPS_signals_e/;http://article.wn.com/view/2016/04/01/Seoul_North_Korea_fires_shortrange_missile_into_sea_m/,wn_world;wn_world;wn_world;wn_world
418000,418000,729490,20150129,2015,1,29,FRA,FRA,,,BGR,BGR,,,174,17,4,-5,"TERROR,2",48.85341,2.3488,Paris,Île-de-France,Republic of France,54ca43c4ee6479074610b940_0;54ca43baee6479075e5dec96_0,http://www.dailystar.com.lb/News/World/2015/Jan-29/285724-bulgaria-extradites-man-suspected-of-link-to-french-attacks.ashx;http://www.sfgate.com/news/crime/article/Bulgaria-extradites-man-suspected-of-link-to-6048157.php,daily_start_int;sfgate_national
223370,223370,533158,20140916,2014,9,16,CUB,CUB,,,BRABUS,BRA,BUS,,10,1,0,0,"NEW_CONSTRUCTION,1",NA,NA,,,,5418f2cdbfd1090620dab8c4_0,http://www.granma.cu/idiomas/ingles/cuba-i/16sept-Cuba%20sees.html,granma
1387144,1387144,1752464_v0.2.0,20151212,2015,12,12,BEL,BEL,,,SYRUAF,SYR,,UAF,173,17,4,-5,,50.85045,4.34878,Brussels,Bruxelles-Capitale,BEL,566bf7dc421aa9755b522bc6_0,http://america.aljazeera.com/articles/2015/12/12/parents-of-foreign-fighters-accuse-belgian-police-of-inaction.html,aljazeera
