"","code","src_actor","month","tgt_actor","country_code","year","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"1","154","IRQ","10","IRQ","IRQ","2017","59f7febade792340138a5d96_1","IRQ","20171031","","35.46806","","Kirkuk Muḩāfaz̧at Kirkūk",4,"almonitor","15","","31","IRQ",-7.2,"","44.39222","http://www.al-monitor.com/pulse/originals/2017/10/iraq-kurdistan-kirkuk.html"
"2","150","","10","","NGA","2017","59f7fec2de792340218a5d5c_1","---COP","20171031","COP","4.95893","","Calabar Cross River State",4,"nigeria_tidenews","15","","31","---CRM",-7.2,"CRM","8.32695","http://www.thetidenewsonline.com/2017/10/30/criver-police-parade-72-suspects-recover-ammunition/"
"3","150","PAN","10","PAN","PAN","2017","59f7fedcde792340268a5d88_2","PAN","20171031","","8.9936","","Panamá Provincia de Panamá",4,"wn_americas","15","","31","PAN",-7.2,"","-79.51973","https://article.wn.com/view/2017/10/30/Panama_names_roster_for_trip_to_Europe/"
"4","154","JOR","10","SYR","JOR","2017","59f7ff43de7923402b8a5d9e_1","JORMIL","20171031","MIL","31.95522","","Amman Amman Governorate",4,"menafn_jordan","15","","31","SYR",-7.2,"","35.94503","http://www.menafn.com/1096018006/Jordan-Syrian-army-allies-step-up-attacks-on-last-militant-bastion-in-Deir-Ezzor-city?src=RSS"
"5","152","IND","10","IND","IND","2017","59f8d0a8de79232871bb347d_1","INDJUD","20171031","JUD","17.38405","","Hyderabad Telangana",4,"hindu_cities","15","","31","IND",-7.2,"","78.45636","http://www.thehindu.com/news/cities/Hyderabad/hc-asks-police-to-submit-records-of-tjac-pleas/article19957996.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"6","152","BGD","10","","BGD","2017","59f8d9fade7923383dbb3474_3","BGD","20171031","","24","","Bangladesh ",4,"wn_asia","15","LAB","31","---LAB",-7.2,"","90","https://article.wn.com/view/2017/10/31/Trade_Union_Bangladesh_Boosts_Protections_for_Garment_Worker/"
"7","150","","10","","","2017","59f8def8de79234097bb349d_5","---GOV","20171031","GOV","",""," ",4,"india_deccanher_news","15","","31","---CVL",-7.2,"CVL","","http://www.deccanherald.com/content/640403/mayor-raps-engineers-over-rain.html"
"8","150","IGO","10","USA","USA","2017","59f8fb41de79236b480637b4_2","IGOOPC","20171031","","40.71427","OPC","New York City New York",4,"wn_mideast","15","","31","USA",-7.2,"","-74.00597","https://article.wn.com/view/2017/10/31/OPEC_oil_price_up/"
"9","150","USA","10","USA","USA","2017","59f8fb42de79236b4f0637b3_2","USAGOVLEG","20171031","GOV","32.75041","LEG"," Alabama",4,"google","15","","31","USA",-7.2,"","-86.75026","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEjbHAPeU0t3TXwcRKvO_x4wwQ2oQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779657751001&ei=Fvr4WdDeOZn5qgLB856QAQ&url=https://www.politico.com/story/2017/10/31/senate-gop-moore-244381"
"10","150","USA","10","USA","USA","2017","59f8fff0de792372fe0637af_2","USAGOVLEG","20171031","GOV","32.75041","LEG"," Alabama",4,"google","15","","31","USA",-7.2,"","-86.75026","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEjbHAPeU0t3TXwcRKvO_x4wwQ2oQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779657751001&ei=2_74WfqzNZijqgLiyKCQBw&url=https://www.politico.com/story/2017/10/31/senate-gop-moore-244381"
"11","150","USA","10","USA","USA","2017","59f90942de7923043a0637aa_1","USACOP","20171031","COP","43.00035",""," New York",4,"australia_smh_world","15","","31","USA",-7.2,"","-75.4999","http://www.smh.com.au/world/witnesses-tell-of-chaotic-scenes-after-new-york-bike-path-terror-attack-20171101-gzccx3.html"
"12","152","","10","IND","IND","2017","59f90e04de79230c000637b6_1","---GOV","20171031","GOV","25.20084","","Bihār Sharīf State of Bihār",4,"wn_world","15","","31","IND",-7.2,"","85.52389","https://article.wn.com/view/2017/10/31/Kuwait_21_illegals_held_in_massive_raids_on_bogus_maids_offi/"
"13","152","","10","IND","IND","2017","59f90e04de79230c000637b6_5","---GOV","20171031","GOV","25.20084","","Bihār Sharīf State of Bihār",4,"wn_world","15","","31","IND",-7.2,"","85.52389","https://article.wn.com/view/2017/10/31/Kuwait_21_illegals_held_in_massive_raids_on_bogus_maids_offi/"
"14","150","","11","USA","","2017","59f920adde79232bea0637a3_1","---GOV","20171101","GOV","",""," ",4,"wn_politics","15","BUS","01","USAGOVBUS",-7.2,"GOV","","https://article.wn.com/view/2017/11/01/Trump_urges_House_to_pass_tax_reform_bill_by_Thanksgiving/"
"15","150","USA","11","USA","","2017","59f96bd2de7923244a0637c1_4","USA","20171101","","",""," ",4,"wn_world","15","","01","USA",-7.2,"","","https://article.wn.com/view/2017/11/01/Dodgers_Rally_Against_Verlander_Force_Game_7_j/"
"16","154","","11","PAK","PAK","2017","59f9a3f8de792304bd0637ab_3","---MIL","20171101","MIL","30","","Islamic Republic of Pakistan ",4,"int_the_news_latest","15","","01","PAK",-7.2,"","70","http://feedproxy.google.com/~r/com/YEor/~3/ceQunUXKjFw/241196-New-commanders-for-Coastal-Command-and-Pakistan-Navy-Fleet-appointed"
"17","152","TUN","11","TUN","TUN","2017","59f9bb5cde79232cce0637a1_4","TUN","20171101","","35.82539","","Sousse Gouvernorat de Sousse",4,"voa_africa","15","","01","TUNCVL",-7.2,"CVL","10.63699","https://www.voanews.com/a/attacker-stabs-tunisian-police-officers-/4095150.html"
"18","152","TUN","11","TUN","TUN","2017","59f9c4bade79233c3506379f_4","TUN","20171101","","35.82539","","Sousse Gouvernorat de Sousse",4,"wn_mideast","15","","01","TUNCVL",-7.2,"CVL","10.63699","https://article.wn.com/view/2017/11/01/Attacker_Stabs_2_Tunisian_Police_Officers/"
"19","150","USA","11","KEN","USA","2017","59fb7358de7923253e5ea521_1","USA","20171102","","39.76","","United States ",4,"kenya_nation","15","","02","KEN",-7.2,"","-98.5","http://www.nation.co.ke/lifestyle/dn2/US-real-estate-firm-model-set-to-rock-property-market/957860-4165982-wes1uw/index.html"
"20","152","","11","","","2017","59fb7ad6de79233563517a73_5","---GOV","20171102","GOV","",""," ",4,"toronto_star_canada","15","","02","---COP",-7.2,"COP","","https://www.thestar.com/news/canada/2017/11/02/quebec-mom-faces-first-degree-murder-charges-in-deaths-of-three-newborns.html"
"21","150","GBR","11","DEU","GBR","2017","59fb7f7ade79233d81517a6f_1","GBR","20171102","","51.55242","","Wembley England",4,"nigeria_pilot","15","","02","DEU",-7.2,"","-0.29686","http://nigerianpilot.com/nigerian-born-abraham-gets-first-england-call-up/"
"22","150","NGA","11","","NGA","2017","59fb88ffde79234e2b517a7d_1","NGAGOV","20171102","GOV","10","","Federal Republic of Nigeria ",4,"wn_europe","15","","02","---GOV",-7.2,"GOV","8","https://article.wn.com/view/2017/11/02/faan_warns_public_of_fraudulent_recruitment_agents_d/"
"23","150","NGA","11","","NGA","2017","59fb88fbde79234e2e517a7e_1","NGAGOV","20171102","GOV","10","","Federal Republic of Nigeria ",4,"wn_africa","15","","02","---GOV",-7.2,"GOV","8","https://article.wn.com/view/2017/11/02/faan_warns_public_of_fraudulent_recruitment_agents_d/"
"24","152","AUS","11","USA","USA","2017","59fba06fde7923775f517a8a_4","AUS","20171102","","37.13054","","Washington ",4,"wn_politics","15","","02","USA",-7.2,"","-113.50829","https://article.wn.com/view/2017/11/02/The_Asbestos_Disease_Awareness_Organization_ADAO_Applauds_Se_y/"
"25","150","GBR","11","DEU","GBR","2017","59fbfe23de79231f5f517a81_1","GBR","20171103","","51.55242","","Wembley England",4,"nigeria_promptnews","15","","03","DEU",-7.2,"","-0.29686","http://www.promptnewsonline.com/nigerian-born-abraham-gets-first-england-call/"
"26","150","NGA","11","","USA","2017","59fc10f2de792340c3517a84_3","NGAGOVBUS","20171103","GOV","37.09744","BUS","Volta California",4,"wn_africa","15","","03","---GOV",-7.2,"GOV","-120.92603","https://article.wn.com/view/2017/11/03/NigeriaFAAN_Alerts_Public_of_Fake_Recruitment_Agents/"
"27","151","USA","11","JPN","JPN","2017","59fc1edcde79235973517a6f_1","USA","20171103","","35.68536","","Japan ",4,"nigeria_thepunch","15","","03","JPNMIL",-7.2,"MIL","139.75309","http://punchng.com/us-sends-supersonic-bombers-over-south-korea/"
"28","151","USA","11","JPN","USA","2017","59fc3afcde79230c90517a73_1","USA","20171103","","37.13054","","Washington Utah",4,"wn_americas","15","","03","JPNMIL",-7.2,"MIL","-113.50829","https://article.wn.com/view/2017/11/03/US_sends_supersonic_bombers_over_Korean_peninsula/"
"29","154","CHN","11","","USA","2017","59fc5269de7923371c517a6f_1","CHN","20171103","","37.87104","","Chinese Camp California",4,"wn_asia","15","","03","---MIL",-7.2,"MIL","-120.43325","https://article.wn.com/view/2017/11/03/More_details_of_PLA_s_ace_Type_055_destroyer_unveiled/"
"30","150","","11","PAK","PAK","2017","59fc733bde79237163517a71_4","---COP","20171103","COP","30","","Islamic Republic of Pakistan ",4,"wn_asia","15","","03","PAKCVL",-7.2,"CVL","70","https://article.wn.com/view/2017/11/03/Stripped_for_honour/"
"31","150","","11","","NGA","2017","59fc781dde79237979517a81_1","---CVL","20171103","CVL","7.5",""," Osun State",4,"nigeria_osundefender","15","CVL","03","---EDUCVL",-7.2,"EDU","4.5","http://www.osundefender.com/osun-csdp-charges-education-officers-schools-rehabilitation/"
"32","150","","11","RUS","RUS","2017","59fc7ca8de792302d6517a7b_6","---PPL","20171103","","60","PPL","Russian Federation ",4,"rfe","15","","03","RUS",-7.2,"","100","https://www.rferl.org/a/bashkortostan-homeowners-hunger-strike-bashstroi/28833588.html"
"33","154","USA","11","USA","CHN","2017","59fcb044de79235e58517a7e_3","USA","20171103","","23.11667","","Guangzhou ",4,"wn_politics","15","","03","USA",-7.2,"","113.25","https://article.wn.com/view/2017/11/03/Aspiring_Troopers_to_Report_for_LSP_Cadet_Class_97/"
"34","150","","11","","","2017","59fcbe46de79237728517a81_4","---COP","20171103","COP","",""," ",4,"hindu_cities","15","","03","---COP",-7.2,"COP","","http://www.thehindu.com/news/cities/mumbai/man-kills-lover-in-hotel-calls-cops-to-arrest-him/article19977815.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"35","152","ISR","11","SYR","SYR","2017","59fcbe44de79237716517a79_5","ISRMIL","20171103","MIL","35.99024","","Al Ḩāḑir Aleppo Governorate",4,"wn_mideast","15","","03","SYR",-7.2,"","37.05086","https://article.wn.com/view/2017/11/03/Israeli_army_pledges_help_to_embattled_Syrian_Golan_village_d/"
"36","152","ISR","11","SYR","ISR","2017","59fcc7b4de792308cd517a84_1","ISR","20171103","","31.76904","","Jerusalem Jerusalem",4,"minnstartrib_world","15","","03","SYR",-7.2,"","35.21633","http://www.startribune.com/world/455009283.html"
"37","152","ISR","11","SYR","SYR","2017","59fcd0fede79231968517a72_1","ISR","20171103","","35","","Syrian Arab Republic ",4,"wn_world","15","","03","SYR",-7.2,"","38","https://article.wn.com/view/2017/11/03/Israeli_army_says_ready_to_help_Druze_under_attack_in_Syria_k/"
"38","152","ISR","11","SYR","SYR","2017","59fcd12ede79231951517a9d_1","ISR","20171103","","35","","Syrian Arab Republic ",4,"wn_politics","15","","03","SYR",-7.2,"","38","https://article.wn.com/view/2017/11/03/Israeli_army_says_ready_to_help_Druze_under_attack_in_Syria_s/"
