"","code","src_actor","month","tgt_actor","country_code","year","date8_val","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"1","030","","03","PRT","PRT","2017",2017-03-26 20:00:00,"59f8f35dde79236240326e42_3","---COP","20170327","COP","39.6945","","Portuguese Republic ",1,"hindu_cities","03","","27","PRTGOV",4,"GOV","-8.13057","http://www.thehindu.com/news/cities/Kochi/portuguese-national-shifted-to-viyyur-jail/article17683497.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"2","010","","03","","IND","2017",2017-03-26 20:00:00,"59f8f361de79236240326e44_1","---GOV","20170327","GOV","17.83333",""," Telangana",0,"hindu_cities","01","LEG","27","---LEG",0,"","79.08333","http://www.thehindu.com/news/cities/Hyderabad/telangana-economy-a-mix-of-amartya-sen-and-deepak-parekh/article17683072.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"3","050","","03","","","2017",2017-03-26 20:00:00,"59f8f364de79236240326e45_1","---EDU","20170327","EDU","",""," ",1,"hindu_cities","05","","27","---GOV",3.5,"GOV","","http://www.thehindu.com/news/cities/Hyderabad/quality-of-education-takes-a-beating-in-residential-schools/article17682961.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"4","040","","03","","IND","2017",2017-03-26 20:00:00,"59f8f382de79236240326e55_1","---EDU","20170327","EDU","10.41667",""," State of Kerala",1,"hindu_cities","04","EDU","27","---GOVEDU",1,"GOV","76.5","http://www.thehindu.com/news/cities/Kochi/two-member-team-probes-death-of-youth-at-medical-college/article17681088.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"5","010","","03","","","2017",2017-03-26 20:00:00,"59f8f382de79236240326e55_3","---EDU","20170327","EDU","",""," ",0,"hindu_cities","01","HLH;EDU","27","---HLHEDU",0,"","","http://www.thehindu.com/news/cities/Kochi/two-member-team-probes-death-of-youth-at-medical-college/article17681088.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"6","043","IND","03","","IND","2017",2017-03-26 20:00:00,"59f8f366de79236240326e46_1","IND","20170327","","9.91769","","Madurai State of Tamil Nādu",1,"hindu_cities","04","PPL","27","---PPL",2.8,"","78.11898","http://www.thehindu.com/news/cities/Madurai/no-doctors-at-collectorate-to-ikssue-disability-certificate/article17682860.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"7","090","","03","MDV","","2017",2017-03-26 20:00:00,"59f8f35ade79236240326e40_3","---COP","20170327","COP","",""," ",3,"hindu_cities","09","","27","MDVEDU",-2,"EDU","","http://www.thehindu.com/news/cities/bangalore/police-search-isec-womens-hostel-for-a-man/article17684075.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"8","160","","03","","USA","2017",2017-03-26 20:00:00,"59f8f399de79236240326e62_4","---AGR","20170327","","40.6976","AGR","Union New Jersey",3,"hindu_cities","16","","27","---GOV",-4,"GOV","-74.2632","http://www.thehindu.com/news/cities/Madurai/implement-enayam-project-without-affecting-fishermens-interest-vasan/article17678439.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"9","112","FRA","03","FRA","","2017",2017-03-26 20:00:00,"59f8f3d2de79236240326e7f_1","FRAGOV","20170327","GOV","",""," ",3,"euroobs","11","","27","FRAGOV",-2,"GOV","","https://euobserver.com/tickers/137366"
"10","010","","03","","IND","2017",2017-03-26 20:00:00,"59f8f38dde79236240326e5b_1","---AGR","20170327","","28.63576","AGR","New Delhi ",0,"hindu_cities","01","AGR","27","---AGR",0,"","77.22445","http://www.thehindu.com/news/cities/Tiruchirapalli/agitation/article17679719.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"11","120","","03","","","2017",2017-03-26 20:00:00,"59f8f38dde79236240326e5b_2","---COP","20170327","COP","",""," ",3,"hindu_cities","12","AGR","27","---AGR",-4,"","","http://www.thehindu.com/news/cities/Tiruchirapalli/agitation/article17679719.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"12","051","","03","IND","IND","2017",2017-03-26 20:00:00,"59f8f38dde79236240326e5b_6","---AGRLEG","20170327","","28.63576","AGR;LEG","New Delhi National Capital Territory of Delhi",1,"hindu_cities","05","AGR","27","INDAGR",3.4,"","77.22445","http://www.thehindu.com/news/cities/Tiruchirapalli/agitation/article17679719.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"13","010","NGO","03","SOM","YEM","2017",2017-03-26 20:00:00,"59f8f3dcde79236240326e86_1","NGOHRI","20170327","","15.5","HRI","Republic of Yemen ",0,"wn_mideast","01","REF","27","SOMREF",0,"","47.5","https://article.wn.com/view/2017/03/27/Saudi_attack_on_Somali_refugee_boat_likely_war_crime_HRW/"
"14","173","","03","","","2017",2017-03-26 20:00:00,"59f8f397de79236240326e61_6","---COP","20170327","COP","",""," ",4,"hindu_cities","17","","27","---COP",-5,"COP","","http://www.thehindu.com/news/cities/Madurai/high-drama-at-town-panchayat-office/article17678465.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication"
"15","020","","03","","","2017",2017-03-26 20:00:00,"59f8f3e7de79236240326e8a_1","---GOV","20170327","GOV","",""," ",0,"allafrica_somalia","02","LEG","27","---LEG",3,"","","http://allafrica.com/stories/201703270740.html"
"16","173","ISR","03","","ISR","2017",2017-03-26 20:00:00,"59f8f3d7de79236240326e81_1","ISR","20170327","","31.76904","","Jerusalem Jerusalem",4,"australia_smh_national","17","PPL","27","---PPL",-5,"","35.21633","http://www.smh.com.au/world/israeli-teen-arrested-over-bomb-threats-against-jewish-centres-in-australia-us-20170324-gv5a3r.html"
"17","090","USA","03","","USA","2017",2017-03-26 20:00:00,"59f8f3d7de79236240326e81_5","USAGOV","20170327","GOV","39.76","","United States ",3,"australia_smh_national","09","JEW;CVL","27","---JEWCVL",-2,"","-98.5","http://www.smh.com.au/world/israeli-teen-arrested-over-bomb-threats-against-jewish-centres-in-australia-us-20170324-gv5a3r.html"
"18","015","IND","03","","IND","2017",2017-03-26 20:00:00,"59f8f404de79236240326e93_1","IND","20170327","","28.63576","","New Delhi National Capital Territory of Delhi",0,"wn_world","01","UAF","27","---UAF",0,"","77.22445","https://article.wn.com/view/2017/03/27/Bangladesh_army_kills_4_insurgents_ending_4day_standoff_8/"
"19","010","","03","","","2017",2017-03-26 20:00:00,"59f8f404de79236240326e93_2","---PPL","20170327","","","PPL"," ",0,"wn_world","01","MED","27","---MILMED",0,"MIL","","https://article.wn.com/view/2017/03/27/Bangladesh_army_kills_4_insurgents_ending_4day_standoff_8/"
"20","040","","03","","ISR","2017",2017-03-26 20:00:00,"59f8f3bede79236240326e71_2","---MED","20170327","MED","31.5","","State of Israel ",1,"jpost_me","04","","27","MEAREB",1,"REB","34.75","http://www.jpost.com/Middle-East/Lebanese-TV-reporter-urges-Israel-to-take-out-Hezbollah-leader-Nasrallah-484605"
"21","060","CHN","03","USA","USA","2017",2017-03-26 20:00:00,"59f8f3d8de79236240326e82_3","CHNJUD","20170327","JUD","37.323","","Cupertino California",2,"skorea_chosun","06","","27","USABUS",6,"BUS","-122.03218","http://english.chosun.com/site/data/html_dir/2017/03/27/2017032700566.html"
"22","073","PHL","03","","PHL","2017",2017-03-26 20:00:00,"59f8f3cfde79236240326e7d_1","PHLCOP","20170327","COP","10.31672","","Cebu City Central Visayas",2,"philstar_region","07","","27","---CVL",7.4,"CVL","123.89071","http://www.philstar.com/region/2017/03/26/1684697/her-pas-sexual-abuses-chr-negros-or.-rescues-17-year-old-girl"
"23","010","","03","","","2017",2017-03-26 20:00:00,"59f8f419de79236240326e9a_6","---GOV","20170327","GOV","",""," ",0,"nigeria_tidenews","01","","27","---GOV",0,"GOV","","http://www.thetidenewsonline.com/2017/03/27/fg-commited-to-projects-completion-nationwide-fashola/"
"24","010","","03","KEN","KEN","2017",2017-03-26 20:00:00,"59f8f3d5de79236240326e80_4","---GOV","20170327","GOV","-1.28333","","Nairobi Nairobi",0,"allafrica_somalia","01","","27","KEN",0,"","36.81667","http://allafrica.com/stories/201703270344.html"
"25","040","","03","KWT","KWT","2017",2017-03-26 20:00:00,"59f8f3dede79236240326e87_3","---GOV","20170327","GOV","29.5","","State of Kuwait ",1,"menafn_iraq","04","","27","KWT",1,"","47.75","http://www.menafn.com/1095346854/Oman-Iraq-and-Venezuela-add-support-to-roll-over-output-cuts-beyond-June?src=RSS"
