Country,Region,Subregion,City
nigeria,edo,ovia north east,okada
algeria,alger,birtouta,tessala el merdja
somalia,jubbada hoose,jamaame,dhato
tanzania,mbeya,rungwe,rungwe
india,assam,sivasagar,mathurapur
yemen,taizz,hayfan,dhi samir
iraq,sala al-din,baiji,qaryat as salman
syria,dar'a,as-sanamayn,samlin
india,assam,kokrajhar,debargaon
algeria,bejaia,adekar,talaa hamdoun
nigeria,bayelsa,kolokuma/opokuma,odi
burundi,bujumbura rural,mugongomanga,rutambiro
iraq,ninewa,telafar,mahmudiya
ethiopia,afar,afar zone 4,teru
burundi,karuzi,gihogazi,taba
democratic republic of congo,katanga,tanganyka,kabongo
saudi arabia,jizan,samitah,ar rukubah
pakistan,balochistan,chagai,taftan
burundi,cibitoke,rugombo,mumbuga
burkina faso,sud-ouest,poni,poni
somalia,hiiraan,belet weyne,buqda caqable
madagascar,fianarantsoa,haute matsiatra,ambotry
mali,mopti,douentza,isey
uganda,moroto,matheniko,matheniko
pakistan,punjab,faisalabad,purbana
algeria,tipaza,damous,damous
yemen,taizz,at taiziyah,ar rubayi
turkey,van,ipekyol,ipekyolu
nigeria,kaduna,kachia,kachia
nigeria,bayelsa,yenegoa,swali
pakistan,punjab,lahore,lahore-al falah
pakistan,fata,kurram agency,ghundi khel
yemen,amanat al asimah,bani al harith,sanaa-al hushayshiyah
ethiopia,oromia,misraq harerge,ziway
kenya,kajiado,kajiado central,olpusi moru hills
south africa,kwazulu-natal,ethekwini,lamontville
syria,hama,as-suqaylabiyah,al-sirmaniyah
uganda,apac,oyam,aloro
democratic republic of congo,nord-kivu,nord-kivu,bukumbirwa
chad,borkou,borkou,oum-chalouba
somalia,jubbada dhexe,buaale,buaale
egypt,giza,ad doqi,syrian embassy
india,maharashtra,gadchiroli,khandala
democratic republic of congo,nord-kivu,nord-kivu,mulamba
pakistan,khyber pakhtunkhwa,kohat,nasrat khel
uganda,katakwi,amuria,morungatuny
syria,idleb,jisr-ash-shugur,kafr witar
egypt,north sinai,shaykh zuwayd,el qawadis
pakistan,fata,fr kohat,akhorwal
south africa,limpopo,mopani,ga-sekgopo
yemen,ibb,as sayyani,as sayyani
somalia,shabeellaha hoose,wanla weyn,bali doogle
india,west bengal,nadia,santipur
burundi,kirundo,gitobe,gitobe
iraq,baghdad,al-zafraniya,baghdad - al-zafraniya
afghanistan,nimruz,chakhansur,chakhansur
republic of congo,bouenza,madingou,madingo
bangladesh,chittagong,lakshmipur,hajirhat
india,jammu and kashmir,rajouri,rajouri
ethiopia,oromia,mirab hararghe,wachu
syria,hama,hama,kawkab
syria,idleb,jisr-ash-shugur,watba
central african republic,ouaka,bambari,baidou
somalia,banaadir,mogadisho,badhka
nigeria,borno,biu,garubula
nigeria,adamawa,fufore,karlahi
palestine,west bank,ramallah,baytunya
india,maharashtra,palghar,vada
sudan,blue nile,al tadamon,el barun
pakistan,balochistan,nasirabad,naseerabad
india,nct of delhi,east delhi,delhi-krishna nagar
india,rajasthan,barmer,chauhtan
sri lanka,southern,hambantota,walasmulla
mozambique,gaza,guija,guija
kenya,nyeri,kieni,githunguri
nigeria,lagos,ibeju/lekki,igbo-lomi
afghanistan,urozgan,gizab,gizab
nigeria,federal capital territory,abuja municipal,abuja
india,uttar pradesh,muzaffarnagar,miranpur
somalia,sool,xudun,lafa wayne
kenya,kajiado,kajiado central,namanga
guinea,kindia,forecariah,pamalap
pakistan,khyber pakhtunkhwa,swat,marghuzar
sierra leone,northern,port loko,kagbantama
syria,idleb,al ma'ra,nasriyeh
pakistan,punjab,bahawalnagar,minchinabad
sri lanka,eastern,trincomalee,selvanagar
angola,huila,caconda,caconda
algeria,blida,chiffa,el hamdania
syria,idleb,jisr-ash-shugur,tabqa
somalia,shabeellaha hoose,qoryooley,buulo sheekh
syria,deir-ez-zor,al mayadin,ashara
central african republic,basse-kotto,alindao,karama
laos,vientiane province,kasi,tham
palestine,west bank,al quds,al quds-shaykh jarrah
afghanistan,wardak,saydabad,shaykhabad
eritrea,maekel,areza,areza
nepal,mid-western,bheri,narayan
sudan,upper nile,upper nile,nagdiar
mali,gao,ansongo,tabango
ivory coast,goh-djiboua,goh,mama
cameroon,sud-ouest,fako,buea
yemen,al jawf,al ghayl,wadi al kharid
south sudan,central equatoria,yei,longamere
chad,tibesti,tibesti,tibesti
democratic republic of congo,katanga,tanganyka,katonge
guinea,nzerekore,macenta,macenta
mali,tombouctou,tombouctou,araouane
sierra leone,southern,moyamba,rotifunk
algeria,jijel,kheir oued adjoul,kheiri oued adjoul
ethiopia,tigray,misraqawi,mt. asimba
sudan,south darfur,marshang,serenga
india,kerala,ernakulam,thoppumpady
india,west bengal,north 24 parganas,kaikhali
uganda,wakiso,jinja,kireka
south africa,eastern cape,nelson mandela bay,sydenham
india,assam,dibrugarh,naharkatiya
burundi,cibitoke,murwi,buhayira
zimbabwe,matabeleland south,umzingwane,umzingwane
egypt,cairo,abdin,al atabah
india,manipur,bishnupur,terakhongshangbi
india,haryana,jind,belarkha
ethiopia,amhara,semen wello,hara
zambia,lusaka,lusaka,matero
iraq,diyala,muqdadiyah,abu karmah
ethiopia,oromia,misraq harerge,kombolcha
sierra leone,northern,koinadugu,karia
india,punjab,muktsar,lakhewali
ethiopia,oromia,kelem wellega,gara kuri
kenya,meru,tigania west,kianjai
syria,hama,as-suqaylabiyah,qirata
sudan,blue nile,el kurmuk,tunphona
south sudan,jonglei,uror,pathai
nigeria,borno,konduga,kawuri
sierra leone,northern,tonkolili,rokanrr
india,jammu and kashmir,baramulla,rafiabad
syria,homs,ar-rastan,al-sa'an al-aswad
nigeria,oyo,lagelu,odo oba
india,odisha,puri,pipili
india,uttar pradesh,bahraich,bahraich
india,haryana,hisar,rakhigarhi
madagascar,toamasina,atsinanana,andranambomaro
nigeria,rivers,etche,umu-etchem
senegal,ziguinchor,ziguinchor,babonda
sierra leone,southern,moyamba,matta gelema
saudi arabia,jizan,jazan,jizan
yemen,dhamar,anss,bab al filak
somalia,shabeellaha hoose,afgooye,afgooye
sudan,west darfur,beida,fura
tanzania,dar es salaam,kinondoni,mabibo
nigeria,edo,esan south east,ugboha
central african republic,ouaka,bambari,komoko
india,jammu and kashmir,kulgam,samnoo
south africa,north west,bojanala,koster
india,andhra pradesh,east godavari,kotapadu
uganda,gulu,aswa,oroko protected camp
nigeria,delta,burutu,isoko camps
syria,aleppo,jebel saman,kafr karmin
india,assam,golaghat,doigrong
burundi,bujumbura rural,mugongomanga,kibira
kenya,nairobi,westlands,parklands
syria,hama,muhradah,kafr zeita
india,kerala,kozhikode,mukkam
egypt,menia,abu qurqas,al matahirah al qiblyah
south africa,kwazulu-natal,zululand,machibini
syria,aleppo,a'zaz,tweis
somalia,bay,baydhabo,masuubiye
afghanistan,herat,farsi,farsi
sudan,south darfur,gereida,sanga
turkey,istanbul,bagcilar,bagcilar
yemen,al bayda,as sawmaah,az zahar
kenya,marsabit,saku,marsabit
mozambique,inhambane,jangamo,jangamo
niger,diffa,diffa,lamana
yemen,sadah,kitaf wa al boqee,salban
india,nagaland,dimapur,chumukedima
yemen,taizz,hayfan,hayfan
sudan,south kordofan,heiban,kumo
nigeria,katsina,rimi,rimi
algeria,djelfa,djelfa,djelfa
senegal,ziguinchor,bignona,kafountine
madagascar,antananarivo,analamanga,soavimasoandro
yemen,al bayda,wald rabi,najd ash shawahirah
afghanistan,paktika,barmal,khowjikheyl
south africa,eastern cape,alfred nzo,ntabankulu
nigeria,rivers,akuku toru,oloma
