Latitude,Longitude
33.36747,68.432
31.76028,-116.54889
51.53329849,0.699999988
35.66669846,139.7669983
39.40553,67.66099
39.94865,-87.45974
54.94390106,35.40579987
52.08128,0.01514
24.17752,117.11575
14.11389,38.47556
-11.91667,17.7
31.51352,70.08614
24.99318,78.7724
45.86823,-0.31849
37.4417,128.061
35.33758,-85.70414
44.93222,15.16778
40.72204,35.5469
47.35222,22.41862
35.8154,51.4504
33.74455,-85.28801
11.9779,10.9514
34.55211,-77.9261
42.05921,-83.39077
-1.8455,29.7409
43.09962,131.58938
43.8875,8.03083
30.67874,77.56772
21.5025,-97.99472
13.58333,107.88333
33.9164,-118.35257
53.82361,91.28417
32.43674,-111.22538
52.26682,-115.13541
38.25121,-81.7954
42.96979904,-77.2303009
16.78333,120.46667
41.79857,43.64661
42.33669,-7.86407
25.9981,88.1907
47.42931,18.91356
7.8861,9.54178
-7.5075,110.42917
2.583329916,-75.44999695
38.31408,69.03784
46.24821,14.32219
16.90802,96.56037
3.21556,-76.57333
18.44232,-73.08758
45.16806,17.70694
38.85110092,115.4899979
7.10667,124.82917
47.46243,-92.53991
40.63399887,-73.99680328
46.42168,12.91182
40.01456,-74.31126
36.20898,49.19152
30.2604,55.4924
68.91782,15.06285
56.15333,49.11
8.28056,7.21278
49.37810135,8.581939697
11.39966,13.87968
40.51732,-75.77742
24.86669922,67.05000305
6.5525,44.26556
48.33249,19.66708
50.35269,30.95501
43.79375,12.6148
10.04729,105.72114
5.88722,43.59778
12.90207,104.6086
53.45013,-114.06875
33.87405,74.89955
43.09758,46.12637
34.42829,69.75986
4.789169788,6.99861002
36.52152,38.46384
32.35093,-106.81112
43.25,-5.766670227
66.9672,30.34905
33.4,6.83333
31.153,61.7075
33.2525,59.18444
32.49268,74.53134
44.35673,9.74797
54.56669998,-5.866670132
4.2824,95.9792
52.96670151,-1.166669965
41.53565,-73.89903
17.04999924,-96.71669769
-6.16394,39.19793
11.51,104.78051
49.50881,-1.47047
-29.06415,30.59279
36.53853,10.55093
39.84019,46.51575
35.70222,139.47556
27.64249,30.70058
34.89859,-117.02282
40.07928,-75.30157
26.72441,75.45278
42.87265,0.73686
35.77154,0.80766
42.62833,20.89389
36.74731,-95.98082
18.3,-76.93333
22.70055,78.19522
40.20285,-82.23598
37.51333,34.04672
44.86924,-68.93476
41.6087,-75.06184
37.7549,69.84091
50.45779,7.60041
38.37078,71.45474
-12.75917,15.5175
-2.6048,30.1432
-1.6,31.53333
39.82397,-80.44618
36.95306,8.75083
51.21135,-1.49393
-25.88080025,32.59109879
59.99675,30.3899
26.90863,118.56713
