
finland,uusimaa,southern finland province,kirkkonummi
oman,,musandam,strait of hormuz
belgium,provincie vlaams-brabant,flanders,sint-pieters-leeuw
kenya,,kiambu district,gatimu
australia,mount marshall,state of western australia,cleary
nigeria,pankshin,plateau state,
greece,,north aegean,
nepal,narayani zone,madhyamanchal,patahi
democratic republic of congo,,orientale province,bagara
nigeria,,lagos state,agbole
nigeria,,delta state,ejeba
syria,,muhafazat dar`a,busra al hariri
nigeria,,sokoto state,doba
australia,,boxing bay,
madagascar,,,ambaro
united kingdom,essex,england,walton-on-the-naze
india,,state of karnataka,nittur
cote d'ivoire,,,bazango
india,,state of rajasthan,singar
russian federation,,,vogra
somalia,,gobolka galguduud,godinlabe
poland,powiat lubartowski,lubelskie,rawa
cameroon,,far north region,bodo
iraq,,muhafazat salah ad din,ghammas
canada,,newfoundland and labrador,orange springs
iran,,khuzestan province,mohammad
syria,,muhafazat dar`a,rakham
iraq,,muhafazat al anbar,ramadi dam
somalia,,gobolka gedo,tubaako
india,,state of uttar pradesh,kachahari
australia,,state of victoria,separation creek
australia,surf coast,state of victoria,
india,,,zema
mexico,el fuerte,estado de sinaloa,saca de agua
malta,,lija,lija
bulgaria,,oblast smolyan,dabok
australia,mansfield,state of victoria,jamieson
philippines,province of mindoro oriental,mimaropa,pinamalayan
iraq,,dihok,tyan
nigeria,,enugu state,uguoba
azerbaijan,,cabrayil rayonu,
australia,blue mountains municipality,state of new south wales,lawson
sudan,,red sea,khor baraka
cameroon,,south-west region,fiango
kenya,,daba siti,
botswana,,,kavimba
germany,upper palatinate,freistaat bayern,heng
benin,,,tanto
sweden,stockholms kommun,stockholm,stortorget
nigeria,,enugu state,ameke ngwo
india,,state of maharashtra,bhilavadi
china,,anhui sheng,nancun
sudan,,red sea,adlab
iraq,,muhafazat al anbar,wadi al husayniyah
philippines,province of pangasinan,ilocos,macalang
angola,,,saga
russian federation,,arkhangel'skaya oblast',opytnoye
india,,state of jharkhand,hiranpur
india,,state of maharashtra,pabal
israel,,jerusalem district,naham
tanzania,,zanzibar urban/west region,ngambo
qatar,,baladiyat ad dawhah,mushayrib
taiwan,,taiwan,dahe
iraq,,muhafazat baghdad,al jisr
syria,,muhafazat halab,khan al asal
lithuania,,,pasilis
netherlands,gemeente geldermalsen,provincie gelderland,geldermalsen
china,,qinghai sheng,lamu
nepal,lumbini zone,pashchimanchal,arladi
syria,,ar raqqah,ilalah
syria,,idlib,abu makki
yemen,al haymah al kharijiyah,sanaa,al malawi
nigeria,,kaduna state,tudun nupawa
namibia,,okavango,ehafo
democratic republic of congo,,bandundu province,mausima
nigeria,,borno state,mangari
afghanistan,,bamyan,mash
russian federation,,primorskiy kray,valentin
nigeria,,,samaru
nigeria,,lagos state,gberegbe
pakistan,,punjab,mehta
nigeria,,,agabi
germany,,free and hanseatic city of hamburg,langenhorn
bulgaria,obshtina kameno,burgas,kameno
china,,qinghai sheng,taiga
india,,,kamar
nigeria,,delta state,ifie
india,,state of punjab,manakpur
france,departement de l'herault,region languedoc-roussillon,nissan-lez-enserune
india,,,arambol beach
philippines,province of ilocos norte,ilocos,baay
france,departement du bas-rhin,region alsace,wissembourg
cameroon,ndian division,south-west region,
nigeria,,jigawa state,kere
ireland,an clar,munster,carrigoran house
syria,,dayr az zawr,nahr al khabur
malawi,blantyre district,southern region,namiwawa
saudi arabia,,,ahl hunaysh
gambia,,central river division,changai
yemen,as said,shabwah,al malahah
nigeria,,zamfara state,mashema
syria,,muhafazat hims,ash shairat
jamaica,,parish of clarendon,mount nebo
denmark,lolland kommune,region sjaelland,rodbyhavn
china,,zhejiang sheng,wuzhen
afghanistan,,kabul,breshna kot
australia,,state of new south wales,bligh street
nigeria,,borno state,kilakasa
australia,the coorong,state of south australia,tintinara
india,,state of west bengal,pundibari
china,,gansu sheng,malianjing
philippines,province of nueva ecija,central luzon,san bernardino
syria,,muhafazat dar`a,umm walad
finland,uusimaa,southern finland province,toolo
venezuela,,estado anzoategui,agua blanca
australia,liverpool,state of new south wales,ashcroft
syria,,muhafazat al hasakah,rumaylan
hungary,,pest megye,pilis
philippines,province of samar,eastern visayas,tinambacan
china,,guangdong sheng,linxiang
india,,state of chhattisgarh,kopra
